0,-75.622471832,5.747756938,593
0.0008724145,-75.6222182538,5.7469221895,593
0.001744829,-75.6219646756,5.7460874409,601
0.0026172435,-75.6217110974,5.7452526924,598
0.003489658,-75.6214575192,5.7444179438,596
0.0043620724,-75.621203941,5.7435831953,603
0.0052344869,-75.6209503628,5.7427484467,608
0.0061069014,-75.6206967846,5.7419136982,597
0.0069793159,-75.6204432064,5.7410789496,597
0.0078517304,-75.6201896282,5.7402442011,617
0.0087241449,-75.61993605,5.7394094526,616
0.0095965594,-75.6196824718,5.738574704,623
0.0104689739,-75.6194288936,5.7377399555,630
0.0113413884,-75.6191753154,5.7369052069,640
0.0122138029,-75.6189217372,5.7360704584,641
0.0130862173,-75.618668159,5.7352357098,652
0.0139586318,-75.6184145808,5.7344009613,662
0.0148310463,-75.6181610026,5.7335662127,666
0.0157034608,-75.6179074244,5.7327314642,682
0.0165758753,-75.6176538462,5.7318967156,684
0.0174482898,-75.617400268,5.7310619671,684
0.0183207043,-75.6171466898,5.7302272185,702
0.0191931188,-75.6168931116,5.72939247,723
0.0200655333,-75.6166395334,5.7285577214,729
0.0209379478,-75.6163859552,5.7277229729,721
0.0218103622,-75.616132377,5.7268882243,729
0.0226827767,-75.6158787988,5.7260534758,731
0.0235551912,-75.6156252206,5.7252187272,752
0.0244276057,-75.6153716424,5.7243839787,779
0.0253000202,-75.6151180642,5.7235492302,820
0.0261724347,-75.614864486,5.7227144816,867
0.0270448492,-75.6146109078,5.7218797331,897
0.0279172637,-75.6143573296,5.7210449845,945
0.0287896782,-75.6141037514,5.720210236,991
0.0296620927,-75.6138501732,5.7193754874,1062
0.0305345071,-75.613596595,5.7185407389,1031
0.0314069216,-75.6133430168,5.7177059903,1109
0.0322793361,-75.6130894386,5.7168712418,1172
0.0331517506,-75.6128358603,5.7160364932,1273
0.0340241651,-75.6125822821,5.7152017447,1238
0.0348965796,-75.6123287039,5.7143669961,1139
0.0357689941,-75.6120751257,5.7135322476,1086
0.0366414086,-75.6118215475,5.712697499,1033
0.0375138231,-75.6115679693,5.7118627505,992
0.0383862375,-75.6113143911,5.7110280019,941
0.039258652,-75.6110608129,5.7101932534,915
0.0401310665,-75.6108072347,5.7093585048,900
0.041003481,-75.6105536565,5.7085237563,901
0.0418758955,-75.6103000783,5.7076890077,912
0.04274831,-75.6100465001,5.7068542592,907
0.0436207245,-75.6097929219,5.7060195107,908
0.044493139,-75.6095393437,5.7051847621,927
0.0453655535,-75.6092857655,5.7043500136,936
0.046237968,-75.6090321873,5.703515265,942
0.0471103824,-75.6087786091,5.7026805165,963
0.0479827969,-75.6085250309,5.7018457679,1006
0.0488552114,-75.6082714527,5.7010110194,1058
0.0497276259,-75.6080178745,5.7001762708,1141
0.0506000404,-75.6077642963,5.6993415223,1242
0.0514724549,-75.6075107181,5.6985067737,1277
0.0523448694,-75.6072571399,5.6976720252,1265
0.0532172839,-75.6070035617,5.6968372766,1223
0.0540896984,-75.6067499835,5.6960025281,1186
0.0549621129,-75.6064964053,5.6951677795,1127
0.0558345273,-75.6062428271,5.694333031,1051
0.0567069418,-75.6059892489,5.6934982824,985
0.0575793563,-75.6057356707,5.6926635339,945
0.0584517708,-75.6054820925,5.6918287853,935
0.0593241853,-75.6052285143,5.6909940368,922
0.0601965998,-75.6049749361,5.6901592883,916
0.0610690143,-75.6047213579,5.6893245397,896
0.0619414288,-75.6044677797,5.6884897912,854
0.0628138433,-75.6042142015,5.6876550426,822
0.0636862578,-75.6039606233,5.6868202941,801
0.0645586722,-75.6037070451,5.6859855455,772
0.0654310867,-75.6034534669,5.685150797,756
0.0663035012,-75.6031998887,5.6843160484,741
0.0671759157,-75.6029463105,5.6834812999,737
0.0680483302,-75.6026927323,5.6826465513,710
0.0689207447,-75.6024391541,5.6818118028,707
0.0697931592,-75.6021855759,5.6809770542,689
0.0706655737,-75.6019319977,5.6801423057,614
0.0715379882,-75.6016784195,5.6793075571,605
0.0724104026,-75.6014248413,5.6784728086,612
0.0732828171,-75.6011712631,5.67763806,643
0.0741552316,-75.6009176849,5.6768033115,662
0.0750276461,-75.6006641067,5.6759685629,665
0.0759000606,-75.6004105285,5.6751338144,680
0.0767724751,-75.6001569503,5.6742990659,699
0.0776448896,-75.5999033721,5.6734643173,715
0.0785173041,-75.5996497939,5.6726295688,734
0.0793897186,-75.5993962157,5.6717948202,781
0.0802621331,-75.5991426375,5.6709600717,799
0.0811345475,-75.5988890593,5.6701253231,802
0.082006962,-75.598635481,5.6692905746,835
0.0828793765,-75.5983819028,5.668455826,862
0.083751791,-75.5981283246,5.6676210775,863
0.0846242055,-75.5978747464,5.6667863289,890
0.08549662,-75.5976211682,5.6659515804,885
0.0863690345,-75.59736759,5.6651168318,878
0.087241449,-75.5971140118,5.6642820833,883
0.0881138635,-75.5968604336,5.6634473347,895
0.088986278,-75.5966068554,5.6626125862,899
0.0898586924,-75.5963532772,5.6617778376,910
0.0907311069,-75.596099699,5.6609430891,916
0.0916035214,-75.5958461208,5.6601083405,932
0.0924759359,-75.5955925426,5.659273592,937
0.0933483504,-75.5953389644,5.6584388434,899
0.0942207649,-75.5950853862,5.6576040949,885
